Kalenderwoche,B.1.1.7 (Alpha),B.1.351 (Beta),P.1 (Gamma),B.1.617.2 (Delta),B.1.1.529 (Omikron),FÃ¤lle gesamt
1,93,4,0,7,0,14634
2,298,53,0,7,0,10950
3,446,133,0,6,0,10164
4,958,99,0,6,0,9510
5,1946,74,0,8,0,9118
6,1883,19,0,7,0,9457
7,3525,20,0,6,0,11636
8,7496,87,0,7,0,14197
9,9477,82,0,7,0,16324
10,11303,99,1,10,0,18225
11,12797,77,2,7,0,21094
12,12305,60,1,16,0,22328
13,10865,19,0,7,0,20790
14,7965,17,1,7,0,17616
15,8133,26,2,8,0,16821
16,8225,24,6,8,0,15049
17,7430,6,12,4,0,12536
18,4976,1,22,6,0,9021
19,3268,0,10,9,0,5736
20,2249,5,5,11,0,4155
21,1470,3,8,26,0,3160
22,1198,4,9,64,0,2424
23,874,0,3,196,0,1684
24,419,0,0,308,0,1002
25,202,0,1,275,0,679
26,111,0,1,356,0,633
27,87,0,2,744,0,1092
28,73,1,1,1672,0,2192
29,30,0,1,1966,0,2531
30,14,0,3,2502,0,3251
31,22,0,1,2756,0,3665
32,4,1,1,4468,0,5900
33,5,0,0,5843,0,8062
34,3,0,0,6909,0,9435
35,2,1,1,8353,0,11309
36,3,0,2,9903,0,14060
37,2,0,0,8817,0,13742
38,0,0,0,7655,0,11756
39,1,0,0,7703,0,12597
40,1,0,0,7490,0,12782
41,1,0,0,9110,0,15363
42,0,0,0,14211,0,23858
43,1,0,0,20449,0,34573
44,1,0,0,23260,0,56514
45,6,0,0,26645,0,78831
46,1,0,0,12379,0,97354
47,0,0,0,12165,6,82691
48,5,0,0,14766,35,50930
49,4,0,0,8915,56,29410
50,1,0,0,5369,322,18985
NA,120179,915,96,225429,419,879826
